r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,Beta-NGF,54,-0.0539909297155568,0.041949172804809,-0.136209797594229,0.0282279381631159,0.198074810281397,IVW
0.05,1,Beta-NGF,54,0.0507821352655976,0.055170207977949,-0.0573494853907668,0.158913755921962,0.357330858513579,PCA_0.90
0.05,1,Beta-NGF,54,-0.0325336673392685,0.0435629235929937,-0.117915428642806,0.0528480939642692,0.455172155611943,PCA_0.99
0.05,1,Beta-NGF,54,-0.0329292801418455,0.0571074378235078,-0.144857801525281,0.0789992412415902,0.564196311615429,MR_Egger
0.05,1,Beta-NGF,54,-0.00168175858129972,0.00330701435454494,-0.00816338761256478,0.00479987044996533,0.611072680264496,EggerInt
0.05,0.01,Beta-NGF,8,0.0250989673176952,0.0681653938378189,-0.108502749596418,0.158700684231809,0.712718977073444,IVW
0.05,0.01,Beta-NGF,8,-0.00796208048535467,0.0570097113485276,-0.119699061497493,0.103774900526784,0.888927187795263,PCA_0.90
0.05,0.01,Beta-NGF,8,0.0251996189429916,0.0489003356628227,-0.0706432777880606,0.121042515674044,0.606325168071543,PCA_0.99
0.05,0.01,Beta-NGF,8,-0.0517219742012865,0.125843833386025,-0.298371355314355,0.194927406911782,0.681071610113483,MR_Egger
0.05,0.01,Beta-NGF,8,0.00882584592248336,0.012757821482696,-0.0161790247047922,0.033830716549759,0.489063674091708,EggerInt
0.05,0.001,Beta-NGF,4,0.00371830956611266,0.102987710229134,-0.198133893333237,0.205570512465463,0.971199113297825,IVW
0.05,0.001,Beta-NGF,4,-0.0282177336115873,0.0692767520041918,-0.163997672505716,0.107562205282541,0.683773749380515,PCA_0.90
0.05,0.001,Beta-NGF,4,-0.0282177336115873,0.0692767520041918,-0.163997672505716,0.107562205282541,0.683773749380515,PCA_0.99
0.05,0.001,Beta-NGF,4,-0.118196966897945,0.193542706806551,-0.49753370170918,0.261139767913289,0.541396714908826,MR_Egger
0.05,0.001,Beta-NGF,4,0.0135609112513034,0.0194063553691935,-0.0244748463435014,0.0515966688461081,0.484685076641048,EggerInt
0.05,1e-04,Beta-NGF,2,0.0105415000973968,0.0775931371606772,-0.141538254185007,0.162621254379801,0.891935049956473,IVW
0.05,1e-04,Beta-NGF,2,0.0411989452801042,0.0849251787284997,-0.125251346408382,0.207649236968591,0.627590870192597,PCA_0.90
0.05,1e-04,Beta-NGF,2,0.0411989452801042,0.0849251787284997,-0.125251346408382,0.207649236968591,0.627590870192597,PCA_0.99
0.05,1e-04,Beta-NGF,2,,,,,,MR_Egger
0.05,1e-04,Beta-NGF,2,,,,,,EggerInt
0.05,1e-05,Beta-NGF,1,-0.0526315789473684,0.105793187822331,-0.259982416888818,0.154719258994082,0.618840048144068,Wald_1Ins
0.1,1,Beta-NGF,82,-0.0300667285880362,0.0322176898885857,-0.0932122404347444,0.033078783258672,0.350697801923006,IVW
0.1,1,Beta-NGF,82,0.0622095446686065,0.0434361722721577,-0.0229237886111,0.147342877948313,0.152084887469018,PCA_0.90
0.1,1,Beta-NGF,82,0.0539973854554885,0.0373641029709112,-0.0192349106821434,0.12722968159312,0.148410856520873,PCA_0.99
0.1,1,Beta-NGF,82,-0.00860723595551747,0.0449833963528319,-0.0967730727093583,0.0795586007983234,0.848257258328378,MR_Egger
0.1,1,Beta-NGF,82,-0.00127470812490158,0.00203940998034782,-0.00527187823609483,0.00272246198629168,0.531946314592358,EggerInt
0.1,0.01,Beta-NGF,12,0.0543486586338373,0.0597313136518726,-0.0627225648730986,0.171419882140773,0.362882875892367,IVW
0.1,0.01,Beta-NGF,12,0.000857182924415183,0.051477182598401,-0.100036240994043,0.101750606842873,0.986714474623109,PCA_0.90
0.1,0.01,Beta-NGF,12,0.0561083870842635,0.0453087441297373,-0.0326951195947622,0.144911893763289,0.21558382661237,PCA_0.99
0.1,0.01,Beta-NGF,12,0.00177747731005805,0.0874527956596035,-0.169626852530106,0.173181807150222,0.983784119736631,MR_Egger
0.1,0.01,Beta-NGF,12,0.00552439840609662,0.00735338313356366,-0.00888796770021244,0.0199367645124057,0.452488358644038,EggerInt
0.1,0.001,Beta-NGF,4,0.00371830956611266,0.102987710229134,-0.198133893333237,0.205570512465463,0.971199113297825,IVW
0.1,0.001,Beta-NGF,4,-0.0282177336115873,0.0692767520041918,-0.163997672505716,0.107562205282541,0.683773749380515,PCA_0.90
0.1,0.001,Beta-NGF,4,-0.0282177336115873,0.0692767520041918,-0.163997672505716,0.107562205282541,0.683773749380515,PCA_0.99
0.1,0.001,Beta-NGF,4,-0.118196966897945,0.193542706806551,-0.49753370170918,0.261139767913289,0.541396714908826,MR_Egger
0.1,0.001,Beta-NGF,4,0.0135609112513034,0.0194063553691935,-0.0244748463435014,0.0515966688461081,0.484685076641048,EggerInt
0.1,1e-04,Beta-NGF,2,0.0105415000973968,0.0775931371606772,-0.141538254185007,0.162621254379801,0.891935049956473,IVW
0.1,1e-04,Beta-NGF,2,0.0411989452801042,0.0849251787284997,-0.125251346408382,0.207649236968591,0.627590870192597,PCA_0.90
0.1,1e-04,Beta-NGF,2,0.0411989452801042,0.0849251787284997,-0.125251346408382,0.207649236968591,0.627590870192597,PCA_0.99
0.1,1e-04,Beta-NGF,2,,,,,,MR_Egger
0.1,1e-04,Beta-NGF,2,,,,,,EggerInt
0.1,1e-05,Beta-NGF,1,-0.0526315789473684,0.105793187822331,-0.259982416888818,0.154719258994082,0.618840048144068,Wald_1Ins
0.2,1,Beta-NGF,122,0.0422680505459566,0.0337510786398781,-0.0238828480275836,0.108418949119497,0.210443574201358,IVW
0.2,1,Beta-NGF,122,0.114745681189647,0.034616268543507,0.0468990415652067,0.182592320814088,0.00091711801530466,PCA_0.90
0.2,1,Beta-NGF,122,0.0765773146342755,0.0275928204589693,0.0224963803028158,0.130658248965735,0.00551572009963739,PCA_0.99
0.2,1,Beta-NGF,122,0.0870096326029902,0.0366542235185864,0.0151686746252798,0.158850590580701,0.017606296388093,MR_Egger
0.2,1,Beta-NGF,122,-0.00264839292140062,0.00168672738703014,-0.00595431785171706,0.00065753200891581,0.11638326410445,EggerInt
0.2,0.01,Beta-NGF,15,0.0619028057699538,0.0665170517604106,-0.0684682200382376,0.192273831578145,0.352044664684684,IVW
0.2,0.01,Beta-NGF,15,0.0251088096036795,0.0491913089578351,-0.0713043843060597,0.121522003513419,0.609748965559939,PCA_0.90
0.2,0.01,Beta-NGF,15,0.0529929095560686,0.0415097728312169,-0.0283647501995558,0.134350569311693,0.201730452387848,PCA_0.99
0.2,0.01,Beta-NGF,15,0.0798917566293751,0.0943948460901278,-0.105118742033477,0.264902255292227,0.397353513128746,MR_Egger
0.2,0.01,Beta-NGF,15,-0.00176028457038935,0.00778436226068304,-0.0170173542439409,0.0134967851031622,0.821099639572662,EggerInt
0.2,0.001,Beta-NGF,5,0.122032274198084,0.108545567030239,-0.0907131278626637,0.334777676258831,0.260907294091436,IVW
0.2,0.001,Beta-NGF,5,0.0332090422812237,0.100119521987402,-0.16302161496345,0.229439699525897,0.740120350182561,PCA_0.90
0.2,0.001,Beta-NGF,5,0.101556774397896,0.0489251873550665,0.00566516924509168,0.197448379550701,0.0379164798460385,PCA_0.99
0.2,0.001,Beta-NGF,5,-0.15274252580717,0.206311243944208,-0.557105133543475,0.251620081929134,0.45908766005828,MR_Egger
0.2,0.001,Beta-NGF,5,0.027525239293739,0.0193499627380673,-0.010399990775065,0.0654504693625429,0.154882391377347,EggerInt
0.2,1e-04,Beta-NGF,3,0.145254142177288,0.0576641417987263,0.0322345010523742,0.258273783302203,0.0117699270376812,IVW
0.2,1e-04,Beta-NGF,3,0.0270368205462689,0.0902453007263113,-0.149840718651288,0.203914359743825,0.764487960978907,PCA_0.90
0.2,1e-04,Beta-NGF,3,0.0270368205462689,0.0902453007263113,-0.149840718651288,0.203914359743825,0.764487960978907,PCA_0.99
0.2,1e-04,Beta-NGF,3,-0.0311815274903141,0.259969939846137,-0.540713246651787,0.478350191671159,0.904528444487318,MR_Egger
0.2,1e-04,Beta-NGF,3,0.0203246321813332,0.0280511291188374,-0.0346545706172709,0.0753038349799374,0.468724060677549,EggerInt
0.2,1e-05,Beta-NGF,1,-0.0526315789473684,0.105793187822331,-0.259982416888818,0.154719258994082,0.618840048144068,Wald_1Ins
0.4,1,Beta-NGF,207,-0.276802324169522,0.0171385729795447,-0.310393309955841,-0.243211338383203,1.12028433179093e-58,IVW
0.4,1,Beta-NGF,207,0.0511182083476449,0.0297115997571276,-0.0071154570993941,0.109351873794684,0.0853452554508353,PCA_0.90
0.4,1,Beta-NGF,207,0.0233042455369528,0.0235715199117966,-0.0228950845510373,0.0695035756249428,0.322828966020554,PCA_0.99
0.4,1,Beta-NGF,207,-0.0554581616076296,0.0214544897285168,-0.0975081887822071,-0.0134081344330521,0.00974013043567745,MR_Egger
0.4,1,Beta-NGF,207,-0.0100681358933126,0.000898599583911426,-0.0118293587143017,-0.00830691307232355,0,EggerInt
0.4,0.01,Beta-NGF,19,0.0299267742744466,0.0684357423229783,-0.104204815933854,0.164058364482748,0.661895658545899,IVW
0.4,0.01,Beta-NGF,19,0.102795440471416,0.0326383832216727,0.0388253848433213,0.166765496099511,0.00163535488944241,PCA_0.90
0.4,0.01,Beta-NGF,19,0.0948479105775161,0.0289101435121401,0.0381850705058371,0.151510750649195,0.00103519314373634,PCA_0.99
0.4,0.01,Beta-NGF,19,0.0854841755468803,0.0919220409760227,-0.0946797141515392,0.2656480652453,0.352389799497487,MR_Egger
0.4,0.01,Beta-NGF,19,-0.00475111938837576,0.0069705713976331,-0.0184131882794017,0.00891094950265014,0.495493918118932,EggerInt
0.4,0.001,Beta-NGF,6,-0.0216219880057631,0.124109979227249,-0.264873077413185,0.221629101401658,0.861695433885885,IVW
0.4,0.001,Beta-NGF,6,-0.0547976747117952,0.0462568563846551,-0.145459447263761,0.0358640978401703,0.236160221994181,PCA_0.90
0.4,0.001,Beta-NGF,6,-0.0185178005187306,0.0452732857469083,-0.107251810044461,0.0702162090070003,0.68252301962432,PCA_0.99
0.4,0.001,Beta-NGF,6,-0.143718534172364,0.253243370719857,-0.640066420106809,0.352629351762081,0.57036669155114,MR_Egger
0.4,0.001,Beta-NGF,6,0.011680652800402,0.0231813821805146,-0.0337540213852653,0.0571153269860692,0.614345161629354,EggerInt
0.4,1e-04,Beta-NGF,3,0.145254142177288,0.0576641417987263,0.0322345010523742,0.258273783302203,0.0117699270376812,IVW
0.4,1e-04,Beta-NGF,3,0.0270368205462689,0.0902453007263113,-0.149840718651288,0.203914359743825,0.764487960978907,PCA_0.90
0.4,1e-04,Beta-NGF,3,0.0270368205462689,0.0902453007263113,-0.149840718651288,0.203914359743825,0.764487960978907,PCA_0.99
0.4,1e-04,Beta-NGF,3,-0.0311815274903141,0.259969939846137,-0.540713246651787,0.478350191671159,0.904528444487318,MR_Egger
0.4,1e-04,Beta-NGF,3,0.0203246321813332,0.0280511291188374,-0.0346545706172709,0.0753038349799374,0.468724060677549,EggerInt
0.4,1e-05,Beta-NGF,1,-0.0526315789473684,0.105793187822331,-0.259982416888818,0.154719258994082,0.618840048144068,Wald_1Ins
0.6,1,Beta-NGF,280,-0.151512593621561,0.0242826320367741,-0.199105677863477,-0.103919509379645,4.38843383596577e-10,IVW
0.6,1,Beta-NGF,280,0.0447934866301913,0.0255743166977448,-0.0053312530266099,0.0949182262869924,0.0798593439388865,PCA_0.90
0.6,1,Beta-NGF,280,0.0251458963456662,0.0207194500154254,-0.0154634794640454,0.0657552721553778,0.224886275881195,PCA_0.99
0.6,1,Beta-NGF,280,-0.0320784346683626,0.0189301555251811,-0.0691808577194594,0.00502398838273425,0.0901574130376166,MR_Egger
0.6,1,Beta-NGF,280,-0.00358488374714205,0.000513403582378226,-0.00459113627813722,-0.00257863121614689,2.89790413887658e-12,EggerInt
0.6,0.01,Beta-NGF,25,-0.0609810901318895,0.0777363840471332,-0.213341603152645,0.0913794228888655,0.432770196416392,IVW
0.6,0.01,Beta-NGF,25,0.0485041996566409,0.0333422171171953,-0.0168453450577769,0.113853744371059,0.145741730074924,PCA_0.90
0.6,0.01,Beta-NGF,25,0.0479619017885942,0.0268337325227422,-0.00463124752676159,0.10055505110395,0.0738771455236092,PCA_0.99
0.6,0.01,Beta-NGF,25,0.0885770270457406,0.0807790952692801,-0.0697470903857782,0.246901144477259,0.27284513857177,MR_Egger
0.6,0.01,Beta-NGF,25,-0.0107548510719427,0.00497437108419079,-0.0205044392426941,-0.00100526290119133,0.0306141354090816,EggerInt
0.6,0.001,Beta-NGF,7,-0.00686052673533848,0.0944596805396109,-0.191998098584135,0.178277045113458,0.942101226015596,IVW
0.6,0.001,Beta-NGF,7,-0.0132283799760827,0.0372136152351566,-0.0861657255715207,0.0597089656193552,0.722236385268402,PCA_0.90
0.6,0.001,Beta-NGF,7,0.00308893114692398,0.0369203187377145,-0.0692735638767358,0.0754514261705837,0.93332294314348,PCA_0.99
0.6,0.001,Beta-NGF,7,-0.0266677213496763,0.155564572305123,-0.331568680338094,0.278233237638741,0.863889272361807,MR_Egger
0.6,0.001,Beta-NGF,7,0.00224031284319926,0.0163199572927221,-0.0297462156797679,0.0342268413661664,0.890813880584694,EggerInt
0.6,1e-04,Beta-NGF,3,0.145254142177288,0.0576641417987263,0.0322345010523742,0.258273783302203,0.0117699270376812,IVW
0.6,1e-04,Beta-NGF,3,0.0270368205462689,0.0902453007263113,-0.149840718651288,0.203914359743825,0.764487960978907,PCA_0.90
0.6,1e-04,Beta-NGF,3,0.0270368205462689,0.0902453007263113,-0.149840718651288,0.203914359743825,0.764487960978907,PCA_0.99
0.6,1e-04,Beta-NGF,3,-0.0311815274903141,0.259969939846137,-0.540713246651787,0.478350191671159,0.904528444487318,MR_Egger
0.6,1e-04,Beta-NGF,3,0.0203246321813332,0.0280511291188374,-0.0346545706172709,0.0753038349799374,0.468724060677549,EggerInt
0.6,1e-05,Beta-NGF,1,-0.0526315789473684,0.105793187822331,-0.259982416888818,0.154719258994082,0.618840048144068,Wald_1Ins
0.05,1,CASP-8,22,0.0328224137211955,0.0306078989618497,-0.0271679658864708,0.0928127933288618,0.283562368739461,IVW
0.05,1,CASP-8,22,0.00947925746108019,0.0618534827079829,-0.111751340964937,0.130709855887098,0.87819843597467,PCA_0.90
0.05,1,CASP-8,22,0.0200024064030856,0.0585238368835741,-0.0947022061258163,0.134707018931988,0.73251479737434,PCA_0.99
0.05,1,CASP-8,22,-0.010239887504277,0.110227557113062,-0.22628192954971,0.205802154541156,0.925984825977071,MR_Egger
0.05,1,CASP-8,22,0.0040623616591697,0.00954340737782321,-0.0146423730911576,0.022767096409497,0.670346840631645,EggerInt
0.05,0.01,CASP-8,5,0.0295237588591206,0.0437582998474813,-0.0562409328666473,0.115288450584889,0.499865891496067,IVW
0.05,0.01,CASP-8,5,0.0134433849305941,0.0595987334163758,-0.103367986089706,0.130254755950894,0.821539809247546,PCA_0.90
0.05,0.01,CASP-8,5,0.033819764472553,0.0555608626436128,-0.0750775252589051,0.142717054204011,0.542724889442764,PCA_0.99
0.05,0.01,CASP-8,5,-0.0245887194026936,0.112332394623822,-0.244756167162525,0.195578728357138,0.826733783998203,MR_Egger
0.05,0.01,CASP-8,5,0.00651315414318785,0.0114914288626203,-0.016009632558452,0.0290359408448277,0.570861171404232,EggerInt
0.05,0.001,CASP-8,2,0.0392956677344855,0.0511588774474094,-0.0609738895519353,0.139565225020906,0.442421576520343,IVW
0.05,0.001,CASP-8,2,0.00329227567767166,0.0664290777528441,-0.126906324244114,0.133490875599457,0.960472415987967,PCA_0.90
0.05,0.001,CASP-8,2,0.00329227567767166,0.0664290777528441,-0.126906324244114,0.133490875599457,0.960472415987967,PCA_0.99
0.05,0.001,CASP-8,2,,,,,,MR_Egger
0.05,0.001,CASP-8,2,,,,,,EggerInt
0.05,1e-04,CASP-8,2,0.0392956677344855,0.0511588774474094,-0.0609738895519353,0.139565225020906,0.442421576520343,IVW
0.05,1e-04,CASP-8,2,0.00329227567767166,0.0664290777528441,-0.126906324244114,0.133490875599457,0.960472415987967,PCA_0.90
0.05,1e-04,CASP-8,2,0.00329227567767166,0.0664290777528441,-0.126906324244114,0.133490875599457,0.960472415987967,PCA_0.99
0.05,1e-04,CASP-8,2,,,,,,MR_Egger
0.05,1e-04,CASP-8,2,,,,,,EggerInt
0.05,1e-05,CASP-8,1,0.0144702842377261,0.05893079494032,-0.101031951425616,0.129972519901069,0.806032864116853,Wald_1Ins
0.05,5e-08,CASP-8,1,0.0144702842377261,0.05893079494032,-0.101031951425616,0.129972519901069,0.806032864116853,Wald_1Ins
0.1,1,CASP-8,29,0.0738519743408737,0.0375132227397398,0.000327408826954645,0.147376539854793,0.0489884924666308,IVW
0.1,1,CASP-8,29,0.022461683005657,0.0586724351258145,-0.0925341767262021,0.137457542737516,0.701844366991419,PCA_0.90
0.1,1,CASP-8,29,0.036215449257531,0.0550962958833495,-0.0717713063553965,0.144202204870459,0.510980405890315,PCA_0.99
0.1,1,CASP-8,29,0.120560288125609,0.0563078395016571,0.0101989506550989,0.230921625596118,0.0322665861477609,MR_Egger
0.1,1,CASP-8,29,-0.00588829273044853,0.00495270303080683,-0.0155954122969523,0.00381882683605523,0.234477105330852,EggerInt
0.1,0.01,CASP-8,8,0.0477918961468715,0.0462394935700508,-0.0428358459137994,0.138419638207542,0.301335786064649,IVW
0.1,0.01,CASP-8,8,0.024870681133135,0.0583799702802758,-0.0895519580347243,0.139293320300994,0.670097688617088,PCA_0.90
0.1,0.01,CASP-8,8,0.0292925102869816,0.0540570360747843,-0.076657333530578,0.135242354104541,0.587900110220641,PCA_0.99
0.1,0.01,CASP-8,8,0.00770182610275559,0.0861088737999631,-0.161068465294477,0.176472117499988,0.928729942668922,MR_Egger
